
  PLP134     54°46'58.70"     17°39'53.40"
  PLP135     54°47'41.90"     17°43'14.90"
  PLP136     54°48'13.20"     17°45'20.80"
  PLP137     54°48'42.90"     17°49'36.60"
  PLP138     54°49'37.60"     17°54'41.90"
  PLP139     54°49'56.30"     17°58'04.00"
  PLP140     54°50'06.80"     18°04'49.20"
  PLP141     54°50'01.00"     18°07'44.20"
  PLP142     54°50'05.80"     18°10'23.50"
  PLP143     54°50'01.80"     18°14'01.60"
  PLP144     54°50'11.10"     18°18'01.70"
  PLP145     54°50'07.20"     18°19'45.72"
  PLP146     54°50'01.80"     18°20'08.40"
  PLP147     54°49'38.30"     18°20'56.10"
  PLP148     54°49'24.60"     18°21'03.70"
  PLP149     54°48'50.00"     18°22'11.00"
  PLP150     54°47'52.94"     18°25'17.11"
  PLP151     54°47'49.89"     18°25'24.87"
  PLP152     54°47'20.70"     18°26'03.00"
  PLP153     54°45'00.20"     18°32'40.00"
  PLP154     54°42'40.00"     18°39'41.60"
  PLP155     54°40'54.70"     18°43'59.50"
  PLP156     54°38'53.00"     18°47'39.90"
  PLP157     54°38'01.20"     18°48'55.20"
  PLP158     54°37'32.20"     18°49'27.80"
  PLP159     54°37'23.74"     18°49'34.27"
  PLP160     54°22'12.34"     19°20'50.37"
  PLP161     54°22'51.10"     19°24'25.80"
  PLP162     54°23'52.12"     19°28'41.12"
  PLP163     54°25'06.60"     19°32'46.10"
  PLP164     54°26'18.50"     19°35'49.50"
  PLP165     54°27'32.95"     19°38'15.55"
